Sample Count,PPG1,smoothPPG1,PPG2,smoothPPG2
486,1884,6.1915796490410315,1187,-0.006919237802676004
487,1884,5.6629946793889765,1187,-0.03543281371658117
488,1888,5.0711081733859364,1186,-0.06670148572063404
489,1892,4.474969587054138,1187,-0.13028896930819459
490,1886,3.8196320349689774,1187,-0.1735792847894294
491,1879,3.2171092457573796,1188,-0.1926278542215832
492,1879,2.7543713516951707,1187,-0.21538512973888524
493,1883,2.1546287470977843,1186,-0.2106247205818489
494,1878,1.356996968004528,1185,-0.22489057082694364
495,1871,0.5537776026492192,1186,-0.26514341817049114
496,1865,-0.14229490051134203,1187,-0.2343442110984786
497,1868,-0.8262380673736062,1187,-0.20276146828619673
498,1862,-1.4931277312090736,1187,-0.23605871002466233
499,1859,-2.127645185038836,1187,-0.2108118844194445
500,1853,-2.733259525316458,1187,-0.16465183826094787
501,1852,-3.239777419660921,1187,-0.19515656890820945
502,1857,-3.660313315456606,1185,-0.18779198851401813
503,1859,-4.075540188539316,1186,-0.12560042424066759
504,1853,-4.451721258893478,1188,-0.08781333505448671
505,1851,-4.796497875946268,1184,-0.03980156496996207
506,1853,-5.124680051853674,1187,0.011573209057066255
507,1858,-5.399291235053159,1186,0.035923987860355194
508,1858,-5.657127892543176,1186,0.06955604602779392
509,1855,-5.887690492654563,1187,0.11056975520084783
510,1856,-5.893540523424306,1186,0.12869484338056605
511,1860,-5.704218530368172,1188,0.12944441197509077
512,1864,-5.517065693248431,1186,0.1333801327757129
513,1863,-5.3584032251274545,1187,0.15322217152262282
514,1860,-5.089229969882807,1189,0.18210307880352364
515,1868,-4.673912999242083,1187,0.2152199964257077
516,1868,-4.210319596664217,1187,0.2495660147435314
517,1866,-3.8020166092203542,1187,0.27432325309964717
518,1864,-3.41473295193942,1187,0.2650637757514265
519,1864,-2.9553065018000964,1187,0.23171876434229235
520,1869,-2.551682136166668,1188,0.19756715076863518
521,1871,-2.116183791298361,1187,0.15610823659245104
522,1870,-1.5994239256961715,1187,0.14393271905906369
